id,Weekly_Sales
1,1591515.1444000003
2,1537218.5700000005
3,1457906.619
4,1451914.0888000005
5,1814067.1167999997
6,1796584.2090999994
7,1687947.4788
8,1714043.0913999998
9,439430.13520000025
10,435299.03430000006
11,455884.0021000001
12,446203.5936999999
13,2171075.9892
14,2158032.0777000003
15,2151429.166700001
16,2194311.9287000005
17,347046.84500000015
18,351664.59120000026
19,334891.72939999984
20,339013.8662999998
21,1453856.6865000012
22,1408372.577200001
23,1395476.1947000013
24,1425516.1707000008
25,594635.0223000002
26,595640.6834000004
27,599964.6401000002
28,600496.8413
29,1743453.4136000008
30,1708255.9847000008
31,1721528.8109000006
32,1739843.6425000005
33,1645411.1264000006
34,1640361.4709
35,1642161.6314
36,1609280.4149000007
37,1688391.1587999994
38,1723608.1850999987
39,1743965.1257
40,1743432.4876999992
41,1274066.0433999998
42,1280145.1957999992
43,1306854.4339999994
44,1302126.9569999997
45,1359650.1902000008
46,1282720.1050000002
47,1298198.4402999994
48,1367735.2246000003
49,2036849.2657000003
50,1881409.124000001
51,1892463.1176000005
52,2086868.1783999996
53,1606530.3102000004
54,1643418.9948000002
55,1630654.6415000001
56,1621206.9589999996
57,563193.2206
58,586996.4755
59,571283.7568
60,577091.4811000002
61,539924.9777999996
62,559191.4937000005
63,564081.5794000003
64,557548.5579999998
65,954743.0716999999
66,941387.8658
67,956274.2736999998
68,948107.5509
69,1007862.2700000003
70,1024731.9024999999
71,1004559.8426999997
72,1032340.4830000006
73,1363372.5264000006
74,1402127.9613000005
75,1389325.9312
76,1362080.3019
77,2145802.9944000007
78,2048338.0316000015
79,2011141.146500001
80,2043845.8462000014
81,1389442.4401
82,1295238.4611000002
83,1410429.6219999986
84,1408952.4781
85,969764.0329000007
86,974800.7294000008
87,983683.7018000005
88,1022072.1159000002
89,1344904.0777
90,1333261.8416
91,1360463.9946000008
92,1403332.9192999997
93,1291536.6231
94,1315249.9822999998
95,1311104.4272999999
96,1317319.2721000004
97,688277.7463
98,701672.6430000002
99,677095.5511000002
100,677667.2931000005
101,696920.6468000003
102,730212.1591000002
103,707633.8944999999
104,726743.8879000001
105,1652503.351999999
106,1675680.6377000003
107,1655614.2245999998
108,1652053.3612000002
109,1231827.4188999997
110,1266050.5951999994
111,1276004.2412999994
112,1262707.8642999998
113,501373.1509999997
114,517869.8643999997
115,603674.0862999993
116,517546.0550999997
117,437630.29099999997
118,444259.42350000015
119,436475.36869999976
120,437872.3150999998
121,1385844.4955000004
122,1316311.0789
123,1345650.0567000005
124,1331650.7492999998
125,1395983.8723
126,1379410.6011999997
127,1285356.53
128,1107758.4763000002
129,262683.03010000003
130,259539.86010000002
131,256532.8988
132,266480.9421000001
133,916057.9986
134,936294.6084999997
135,890031.3420000001
136,836285.1690000001
137,766581.5205000006
138,734860.6534000007
139,772384.3809000008
140,772281.9685000005
141,294628.25430000015
142,298161.13659999997
143,301861.37029999995
144,306061.3134
145,521670.1298999999
146,522883.3146999998
147,522245.6791000001
148,519197.6890000001
149,549756.8628000001
150,571909.5867000002
151,571631.0528000002
152,559575.0536000003
153,1412922.6634999996
154,1373011.2567000005
155,1505215.6911000004
156,1379160.1464
157,947862.3008999999
158,933466.5110999994
159,944599.4931000002
160,1006772.7363000001
161,1346131.7738000005
162,1376888.8280000004
163,1336515.3136000007
164,1200216.4168999994
165,594184.6262000002
166,593298.5645999997
167,582861.2752999997
168,576250.3594
169,665260.2398000004
170,630655.2660000001
171,629348.5196000002
172,626777.1063000001
173,372773.1193000002
174,362026.00389999995
175,361338.32509999996
176,361537.8903
177,732874.1101000005
178,715098.6961000003
179,731494.0973000001
180,736764.1066000003
